emoji,label
💄,positive
💍,positive
💎,positive
🔇,neutre
🔈,neutre
🔉,neutre
🔊,neutre
📢,neutre
📣,neutre
📯,neutre
🔔,neutre
🔕,neutre
🎼,positive
🎵,positive
🎶,positive
🎙,neutre
🎚,neutre
🎛,neutre
🎤,positive
🎧,positive
📻,positive
🎷,positive
🪗,positive
🎸,positive
🎹,positive
🎺,positive
🎻,neutre
🪕,positive
🥁,positive
🪘,positive
📱,neutre
📲,neutre
☎,neutre
📞,neutre
📟,neutre
📠,neutre
🔋,neutre
🔌,neutre
💻,neutre
🖥,neutre
🖨,neutre
⌨,neutre
🖱,neutre
🖲,neutre
💽,neutre
💾,neutre
💿,neutre
📀,neutre
🧮,neutre
🎥,positive
🎞,neutre
📽,neutre
🎬,positive
📺,neutre
📷,neutre
📸,positive
📹,neutre
📼,neutre
🔍,neutre
🔎,neutre
🕯,neutre
💡,positive
🔦,neutre
🏮,positive
🪔,positive
📔,neutre
📕,positive
📖,positive
📗,neutre
📘,neutre
📙,neutre
📚,positive
📓,neutre
📒,neutre
📃,neutre
📜,neutre
📄,neutre
📰,neutre
🗞,neutre
📑,neutre
🔖,neutre
🏷,neutre
💰,positive
🪙,neutre
💴,positive
💵,positive
💶,positive
💷,positive
💸,positive
💳,neutre
🧾,neutre
💹,positive
✉,neutre
📧,neutre
📨,neutre
📩,neutre
📤,neutre
📥,neutre
📦,neutre
📫,neutre
📪,neutre
📬,positive
📭,neutre
📮,neutre
🗳,neutre
✏,neutre
✒,neutre
🖋,neutre
🖊,neutre
🖌,positive
🖍,positive
📝,positive
💼,neutre
📁,neutre
📂,neutre
🗂,neutre
📅,neutre
📆,neutre
🗒,neutre
🗓,neutre
📇,neutre
📈,positive
📉,negative
📊,neutre
📋,neutre
📌,neutre
📍,neutre
📎,neutre
🖇,neutre
📏,neutre
📐,neutre
✂,neutre
🗃,neutre
🗄,neutre
🗑,neutre
🔒,neutre
🔓,neutre
🔏,neutre
🔐,neutre
🔑,positive
🗝,positive
🔨,neutre
🪓,neutre
⛏,neutre
⚒,neutre
🛠,neutre
🗡,negative
⚔,negative
🔫,neutre
🪃,neutre
🏹,neutre
🛡,neutre
🪚,neutre
🔧,neutre
🪛,neutre
🔩,neutre
⚙,neutre
🗜,neutre
⚖,neutre
🦯,neutre
🔗,neutre
⛓,neutre
🪝,neutre
🧰,neutre
🧲,neutre
🪜,neutre
⚗,neutre
🧪,neutre
🧫,neutre
🧬,positive
🔬,neutre
🔭,positive
📡,neutre
💉,neutre
🩸,neutre
💊,neutre
🩹,neutre
🩺,neutre
🚪,neutre
🛗,neutre
🪞,neutre
🪟,neutre
🛏,neutre
🛋,neutre
🪑,neutre
🚽,neutre
🪠,negative
🚿,positive
🛁,positive
🪤,negative
🪒,neutre
🧴,neutre
🧷,neutre
🧹,neutre
🧺,neutre
🧻,neutre
🪣,neutre
🧼,positive
🪥,positive
🧽,neutre
🧯,neutre
🛒,neutre
🚬,negative
⚰,negative
🪦,negative
⚱,negative
🗿,neutre
🪧,neutre
🏧,neutre
🚮,positive
🚰,positive
♿,neutre
🚹,neutre
🚺,neutre
🚻,neutre
🚼,neutre
🚾,neutre
🛂,neutre
🛃,neutre
🛄,neutre
🛅,neutre
⚠,neutre
🚸,neutre
⛔,negative
🚫,negative
🚳,negative
🚭,negative
🚯,neutre
🚱,negative
🚷,negative
📵,neutre
🔞,neutre
☢,negative
☣,negative
⬆,neutre
↗,neutre
➡,neutre
↘,neutre
⬇,neutre
↙,neutre
⬅,neutre
↖,neutre
↕,neutre
↔,neutre
↩,neutre
↪,neutre
⤴,positive
⤵,neutre
🔃,neutre
🔄,neutre
🔙,neutre
🔚,neutre
🔛,neutre
🔜,neutre
🔝,positive
🛐,neutre
⚛,neutre
🕉,positive
✡,neutre
☸,neutre
☯,neutre
✝,neutre
☦,neutre
☪,neutre
☮,positive
🕎,positive
🔯,neutre
♈,neutre
♉,neutre
♊,neutre
♋,neutre
♌,neutre
♍,neutre
♎,neutre
♏,neutre
♐,neutre
♑,neutre
♒,neutre
♓,neutre
⛎,neutre
🔀,neutre
🔁,neutre
🔂,neutre
▶,neutre
⏩,neutre
⏭,neutre
⏯,neutre
◀,neutre
⏪,neutre
⏮,neutre
🔼,neutre
⏫,neutre
🔽,neutre
⏬,neutre
⏸,neutre
⏹,neutre
⏺,neutre
⏏,neutre
🎦,positive
🔅,neutre
🔆,positive
📶,positive
📳,neutre
📴,neutre
♀,positive
♂,neutre
⚧,neutre
✖,negative
➕,positive
➖,neutre
➗,neutre
♾,positive
‼,neutre
⁉,neutre
❓,neutre
❔,neutre
❕,neutre
❗,neutre
〰,neutre
💱,neutre
💲,neutre
⚕,neutre
♻,positive
⚜,positive
🔱,neutre
📛,neutre
🔰,neutre
⭕,positive
✅,positive
☑,positive
✔,positive
❌,negative
❎,negative
➰,neutre
➿,neutre
〽,neutre
✳,neutre
✴,neutre
❇,neutre
©,neutre
®,neutre
™,neutre
#️⃣,neutre
*️⃣,neutre
neutre️⃣,neutre
positive️⃣,neutre
2️⃣,neutre
3️⃣,neutre
4️⃣,neutre
5️⃣,neutre
6️⃣,neutre
7️⃣,neutre
8️⃣,neutre
9️⃣,neutre
🔟,neutre
🔠,neutre
🔡,neutre
🔢,neutre
🔣,neutre
🔤,neutre
🅰,neutre
🆎,neutre
🅱,neutre
🆑,neutre
🆒,positive
🆓,positive
ℹ,neutre
🆔,neutre
Ⓜ,neutre
🆕,positive
🆖,negative
🅾,neutre
🆗,positive
🅿,positive
🆘,negative
🆙,positive
🆚,neutre
🈁,neutre
🈂,positive
🈷,neutre
🈶,neutre
🈯,neutre
🉐,positive
🈹,positive
🈚,negative
🈲,negative
🉑,positive
🈸,neutre
🈴,positive
🈳,neutre
㊗,positive
㊙,neutre
🈺,positive
🈵,neutre
🔴,neutre
🟠,neutre
🟡,neutre
🟢,neutre
🔵,neutre
🟣,neutre
🟤,neutre
⚫,neutre
⚪,neutre
🟥,negative
🟧,neutre
🟨,neutre
🟩,neutre
🟦,neutre
🟪,neutre
🟫,neutre
⬛,neutre
⬜,neutre
◼,neutre
◻,neutre
◾,neutre
◽,neutre
▪,neutre
▫,neutre
🔶,neutre
🔷,neutre
🔸,neutre
🔹,neutre
🔺,neutre
🔻,negative
💠,neutre
🔘,neutre
🔳,neutre
🔲,neutre
🏁,positive
🚩,neutre
🎌,neutre
🏴,neutre
🏳,neutre
🏳️‍🌈,neutre
🏳️‍⚧️,neutre
🏴‍☠️,negative
🇦🇨,neutre
🇦🇩,neutre
🇦🇪,neutre
🇦🇫,neutre
🇦🇬,neutre
🇦🇮,neutre
🇦🇱,neutre
🇦🇲,neutre
🇦🇴,neutre
🇦🇶,neutre
🇦🇷,neutre
🇦🇸,neutre
🇦🇹,neutre
🇦🇺,neutre
🇦🇼,neutre
🇦🇽,neutre
🇦🇿,neutre
🇧🇦,neutre
🇧🇧,neutre
🇧🇩,neutre
🇧🇪,neutre
🇧🇫,neutre
🇧🇬,neutre
🇧🇭,neutre
🇧🇮,neutre
🇧🇯,neutre
🇧🇱,neutre
🇧🇲,neutre
🇧🇳,neutre
🇧🇴,neutre
🇧🇶,neutre
🇧🇷,neutre
🇧🇸,neutre
🇧🇹,neutre
🇧🇻,neutre
🇧🇼,neutre
🇧🇾,neutre
🇧🇿,neutre
🇨🇦,neutre
🇨🇨,neutre
🇨🇩,neutre
🇨🇫,neutre
🇨🇬,neutre
🇨🇭,neutre
🇨🇮,neutre
🇨🇰,neutre
🇨🇱,neutre
🇨🇲,neutre
🇨🇳,neutre
🇨🇴,neutre
🇨🇵,neutre
🇨🇷,neutre
🇨🇺,neutre
🇨🇻,neutre
🇨🇼,neutre
🇨🇽,neutre
🇨🇾,neutre
🇨🇿,neutre
🇩🇪,neutre
🇩🇬,neutre
🇩🇯,neutre
🇩🇰,neutre
🇩🇲,neutre
🇩🇴,neutre
🇩🇿,neutre
🇪🇦,neutre
🇪🇨,neutre
🇪🇪,neutre
🇪🇬,neutre
🇪🇭,neutre
🇪🇷,neutre
🇪🇸,neutre
🇪🇹,neutre
🇪🇺,neutre
🇫🇮,neutre
🇫🇯,neutre
🇫🇰,neutre
🇫🇲,neutre
🇫🇴,neutre
🇫🇷,neutre
🇬🇦,neutre
🇬🇧,neutre
🇬🇩,neutre
🇬🇪,neutre
🇬🇫,neutre
🇬🇬,neutre
🇬🇭,neutre
🇬🇮,neutre
🇬🇱,neutre
🇬🇲,neutre
🇬🇳,neutre
🇬🇵,neutre
🇬🇷,neutre
🇬🇸,neutre
🇬🇹,neutre
🇬🇺,neutre
🇬🇼,neutre
🇬🇾,neutre
🇭🇰,neutre
🇭🇲,neutre
🇭🇳,neutre
🇭🇷,neutre
🇭🇹,neutre
🇭🇺,neutre
🇮🇨,neutre
🇮🇩,neutre
🇮🇪,neutre
🇮🇱,neutre
🇮🇲,neutre
🇮🇳,neutre
🇮🇴,neutre
🇮🇶,neutre
🇮🇷,neutre
🇮🇸,neutre
🇮🇹,neutre
🇯🇪,neutre
🇯🇲,neutre
🇯🇴,neutre
🇯🇵,neutre
🇰🇪,neutre
🇰🇬,neutre
🇰🇭,neutre
🇰🇮,neutre
🇰🇲,neutre
🇰🇷,neutre
🇰🇼,neutre
🇰🇾,neutre
🇰🇿,neutre
🇱🇦,neutre
🇱🇧,neutre
🇱🇨,neutre
🇱🇮,neutre
🇱🇰,neutre
🇱🇷,neutre
